X-axis,Y-axis
693637.5809173471,1200193.6027573543
693637.5053846962,1200193.1084954615
693637.4149159755,1200192.5164966306
693637.360370918,1200192.0194806985
693637.3058258604,1200191.5224647666
693637.2512808028,1200191.0254488345
693637.1967357452,1200190.5284329024
693637.1421906876,1200190.0314169705
693637.08764563,1200189.5344010384
693637.0331005723,1200189.0373851063
693636.9785555147,1200188.5403691744
693636.918106921,1200187.989560073
693636.8635618496,1200187.4925441425
693636.809016778,1200186.995528212
693636.7544717066,1200186.4985122816
693636.699926635,1200186.001496351
693636.6453815636,1200185.5044804204
693636.5908364921,1200185.00746449
693636.5362914206,1200184.5104485594
693636.4817463491,1200184.013432629
693636.3906208739,1200183.1830952286
693636.3360756863,1200182.686079311
693636.2815304988,1200182.189063393
693636.2269853111,1200181.6920474754
693636.1724401236,1200181.1950315575
693636.117894936,1200180.6980156398
693636.0633497484,1200180.2009997221
693635.9763993407,1200179.408707338
693635.9218541356,1200178.911691422
693635.8673089306,1200178.4146755063
693635.8127637255,1200177.9176595903
693635.7582185206,1200177.4206436744
693635.7036733155,1200176.9236277586
693635.6491281105,1200176.4266118428
693635.5945829054,1200175.929595927
693635.5084512037,1200175.1447638485
693635.4539061347,1200174.6477479178
693635.3993610657,1200174.1507319869
693635.3448159967,1200173.6537160561
693635.2902709277,1200173.1567001254
693635.2357258587,1200172.6596841947
693635.1811807897,1200172.1626682638
693635.1266357207,1200171.665652333
693635.0538434205,1200171.002367209
693634.9992982346,1200170.505351291
693634.9447530488,1200170.0083353731
693634.890207863,1200169.511319455
693634.8356626772,1200169.014303537
693634.7811174913,1200168.5172876192
693634.7265723054,1200168.0202717013
693634.6720271197,1200167.5232557831
693634.584349737,1200166.7243391762
693634.529804489,1200166.227323265
693634.475259241,1200165.730307354
693634.4207139929,1200165.2332914427
693634.3661687449,1200164.7362755316
693634.3116234968,1200164.2392596207
693634.2570782488,1200163.7422437095
693634.1831980061,1200163.0690474652
693634.1286528492,1200162.572031544
693634.0741076923,1200162.075015623
693634.0195625355,1200161.5779997017
693633.9650173787,1200161.0809837808
693633.9104722218,1200160.5839678596
693633.8559270649,1200160.0869519385
693633.801381908,1200159.5899360173
693633.7468367511,1200159.0929200961
693633.6922915942,1200158.595904175
693633.6377464373,1200158.0988882538
693633.5792033284,1200157.5654429595
693633.524658066,1200157.06842705
693633.4701128035,1200156.5714111405
693633.4155675411,1200156.074395231
693633.3610222788,1200155.5773793212
693633.3064770164,1200155.0803634117
693633.2519317539,1200154.5833475022
693633.1973864916,1200154.0863315926
693633.1428412292,1200153.589315683
693633.0882959669,1200153.0922997736
693633.0337507044,1200152.595283864
693632.9578698352,1200151.903858109
693632.903324535,1200151.4068422036
693632.8487792348,1200150.909826298
693632.7942339346,1200150.4128103927
693632.7396886344,1200149.9157944873
693632.6851433342,1200149.4187785818
693632.630598034,1200148.9217626764
693632.5760527338,1200148.424746771
693632.4953637341,1200147.689509892
693632.4302968361,1200147.1937616707
693632.365229938,1200146.6980134496
693632.3001630399,1200146.2022652284
693632.2350961419,1200145.7065170072
693632.1700292439,1200145.210768786
693632.1049623458,1200144.715020565
693632.0398954478,1200144.219272344
693631.9748285498,1200143.7235241227
693631.8502069525,1200142.7740254223
693631.7662213268,1200142.2811294752
693631.6822357009,1200141.7882335281
693631.5982500751,1200141.295337581
693631.5142644494,1200140.802441634
693631.4302788236,1200140.309545687
693631.3462931977,1200139.8166497396
693631.262307572,1200139.3237537926
693631.1783219462,1200138.8308578455
693631.0267051233,1200137.941047038
693630.9671192463,1200137.4446102108
693630.9075333693,1200136.9481733837
693630.8479474923,1200136.4517365568
693630.7883616153,1200135.9552997297
693630.7287757383,1200135.4588629026
693630.6691898613,1200134.9624260755
693630.6096039843,1200134.4659892486
693630.5007032969,1200133.558688484
693630.4401409887,1200133.0623698293
693630.3795786806,1200132.566051175
693630.3190163724,1200132.0697325203
693630.2584540644,1200131.5734138659
693630.1978917562,1200131.0770952113
