X-axis,Y-axis
693824.498595267,1200326.2000744825
693824.0561584418,1200325.9671589273
693823.6137216167,1200325.7342433725
693823.1712847915,1200325.5013278173
693822.7288479665,1200325.2684122624
693822.2864111414,1200325.0354967073
693821.8439743163,1200324.8025811522
693821.4015374911,1200324.5696655973
693820.959100666,1200324.3367500422
693820.5166638409,1200324.1038344873
693820.0742270157,1200323.8709189321
693819.6317901906,1200323.638003377
693819.1893533656,1200323.4050878221
693818.587436592,1200323.0882159628
693818.1485914681,1200322.8486017785
693817.7097463444,1200322.6089875943
693817.2709012205,1200322.36937341
693816.8320560966,1200322.1297592258
693816.3932109729,1200321.8901450415
693815.954365849,1200321.6505308573
693815.5155207252,1200321.410916673
693815.0766756014,1200321.1713024888
693814.6378304776,1200320.9316883045
693814.1989853537,1200320.6920741203
693813.76014023,1200320.452459936
693813.3212951061,1200320.2128457518
693812.8824499822,1200319.9732315675
693812.4436048585,1200319.7336173833
693812.0047597346,1200319.494003199
693811.5659146108,1200319.2543890148
693811.127069487,1200319.0147748305
693810.6882243631,1200318.7751606463
693810.2493792393,1200318.5355464618
693809.8105341155,1200318.2959322776
693809.3716889917,1200318.0563180933
693808.9328438678,1200317.816703909
693808.4939987441,1200317.5770897248
693808.0551536202,1200317.3374755406
693807.6163084963,1200317.0978613563
693807.1774633726,1200316.858247172
693806.7386182487,1200316.6186329878
693806.2997731249,1200316.3790188036
693805.8609280011,1200316.1394046193
693805.1002229173,1200315.7240514157
693804.9761644229,1200315.2396863778
693804.8521059286,1200314.7553213397
693804.7280474341,1200314.2709563018
693804.6039889398,1200313.786591264
693804.4799304454,1200313.302226226
693804.3558719511,1200312.817861188
693804.2318134566,1200312.33349615
693804.1077549623,1200311.8491311122
693803.9836964679,1200311.3647660743
693803.8596379736,1200310.8804010362
693803.7355794793,1200310.3960359984
693803.6115209848,1200309.9116709605
693803.4790516022,1200309.394467057
693803.4026343733,1200308.9003411548
693803.3262171443,1200308.4062152528
693803.2497999154,1200307.9120893506
693803.1733826863,1200307.4179634487
693803.0969654574,1200306.9238375465
693802.9490505902,1200305.9673965948
693802.8851047263,1200305.471502527
693802.8211588626,1200304.9756084592
693802.7572129987,1200304.4797143913
693802.693267135,1200303.9838203236
693802.6293212711,1200303.4879262557
693802.5653754073,1200302.992032188
693802.4930822948,1200302.4314060034
693802.4430148579,1200301.9339190673
693802.3929474211,1200301.4364321309
693802.3428799843,1200300.9389451947
693802.2928125474,1200300.4414582583
693802.2427451105,1200299.9439713222
693802.1926776737,1200299.4464843858
693802.1426102368,1200298.9489974496
693802.0925428,1200298.4515105132
693802.0424753631,1200297.954023577
693801.9924079262,1200297.4565366406
693801.9423404894,1200296.9590497045
693801.8922730525,1200296.461562768
693801.8422056157,1200295.964075832
693801.7921381788,1200295.4665888955
693801.742070742,1200294.9691019594
693801.6920033051,1200294.471615023
693801.6419358682,1200293.9741280868
693801.5918684314,1200293.4766411504
693801.5418009945,1200292.9791542143
693801.4880362994,1200292.4449300726
693801.4174071428,1200291.9499436866
693801.3467779864,1200291.4549573008
693801.2761488298,1200290.9599709148
693801.2055196733,1200290.464984529
693801.1348905168,1200289.969998143
693801.0642613603,1200289.475011757
693800.9936322038,1200288.980025371
693800.9230030472,1200288.4850389853
693800.8523738908,1200287.9900525992
693800.7817447343,1200287.4950662134
693800.7111155777,1200287.0000798274
693800.6404864212,1200286.5050934416
693800.5698572648,1200286.0101070555
693800.4992281082,1200285.5151206697
693800.4285989517,1200285.0201342837
693800.3579697952,1200284.525147898
693800.2873406387,1200284.0301615119
693800.2167114821,1200283.535175126
693800.1460823256,1200283.04018874
693800.0754531692,1200282.5452023542
693800.0048240126,1200282.0502159682
693799.9341948561,1200281.5552295824
693799.8635656997,1200281.0602431963
693799.7929365431,1200280.5652568105
693799.7223073866,1200280.0702704245
693799.65167823,1200279.5752840387
693799.5810490736,1200279.0802976526
693799.5104199171,1200278.5853112668
693799.4397907605,1200278.0903248808
693799.3691616041,1200277.595338495
693799.2985324475,1200277.100352109
693799.227903291,1200276.6053657231
693799.1572741345,1200276.110379337
693799.086644978,1200275.6153929513
693799.0160158215,1200275.1204065653
693798.945386665,1200274.6254201795
693798.8747575085,1200274.1304337934
693798.804128352,1200273.6354474076
693798.7334991954,1200273.1404610216
693798.6628700389,1200272.6454746358
693798.5922408825,1200272.1504882497
693798.5216117259,1200271.655501864
693798.4318435437,1200271.0263845092
693798.3948117949,1200270.5277577455
693798.357780046,1200270.0291309815
693798.3207482971,1200269.5305042178
693798.2837165482,1200269.031877454
693798.2466847994,1200268.5332506902
693798.2096530505,1200268.0346239263
