time,verror,vsteer,gsteer
1,-6.45,-3.225,12.21597534512776
2,-6.45,-3.225,12.21597534512776
3,-6.45,-3.225,12.21597534512776
4,-6.45,-3.2250000001266748,12.21597534512776
5,-6.45,-3.225,12.21597534512776
6,-6.45,-3.225,12.21597534512776
7,-6.45,-3.225,12.21597534512776
8,-6.1,-3.049999999873325,12.21597534512776
9,-6.45,-3.225,12.21597534512776
10,-6.55,-3.2750000001266746,12.21597534512776
11,-7.0,-3.500000000090482,14.999999999999998
12,-6.45,-3.2250000001266748,14.999999999999998
13,-6.2,-3.1,14.999999999999998
14,-6.45,-3.225,14.999999999999998
15,-6.45,-3.225,14.999999999999998
16,-6.45,-3.2250000001266748,14.999999999999998
17,-13.350000000000001,-6.67499999746651,14.999999999999998
18,-9.55,-4.775000004252646,14.999999999999998
19,40.14999999999999,20.074999997466506,14.999999999999998
20,-5.2,-2.5999999998552292,14.999999999999998
21,-5.550000000000001,-2.7749999991132785,14.999999999999998
22,-8.45,-4.22500000019906,14.999999999999998
23,-6.45,-3.225000000235253,14.999999999999998
24,-6.4,-3.200000000090482,14.999999999999998
25,-5.9,-2.949999999945711,14.999999999999998
26,-5.9,-2.95,14.999999999999998
27,-5.800000000000001,-2.9000000000000004,14.999999999999998
28,-5.800000000000001,-2.9000000000000004,14.999999999999998
29,-5.800000000000001,-2.9000000000000004,14.999999999999998
30,-5.800000000000001,-2.8999999997647476,14.999999999999998
31,-6.45,-3.225000000235253,14.999999999999998
32,-6.45,-3.225,14.999999999999998
33,-6.45,-3.2249999999095182,14.999999999999998
34,-6.050000000000001,-3.0250000000542894,14.999999999999998
35,-6.15,-3.075000000126675,14.999999999999998
36,-5.800000000000001,-2.8999999998733257,14.999999999999998
37,-5.800000000000001,-2.9000000000000004,14.999999999999998
38,-6.25,-3.125000000090482,14.999999999999998
39,-16.0,-8.0,14.999999999999998
40,-15.5,-7.749999999728555,14.999999999999998
41,-21.6,-10.800000000018096,-12.051434980346622
42,-20.9,-10.449999999909517,-14.999999999999998
43,-18.7,-9.34999999980094,-14.999999999999998
44,-16.9,-8.450000000361927,-9.939895704612507
45,-21.15,-10.575000000126673,-7.830258988489352
46,-20.799999999999997,-10.399999999873325,5.057873723744185
47,-19.7,-9.849999999819037,5.036052339875
48,-21.349999999999998,-10.674999999963806,-10.518993252290368
49,-21.349999999999998,-10.674999999963806,-14.999999999999998
50,-21.349999999999998,-10.674999999999999,-14.999999999999998
51,-21.349999999999998,-10.674999999963806,-14.999999999999998
52,-21.349999999999998,-10.674999999999999,-14.999999999999998
53,-21.349999999999998,-10.674999999999999,-14.999999999999998
54,-21.349999999999998,-10.674999999999999,-14.999999999999998
55,-21.349999999999998,-10.674999999999999,-14.999999999999998
56,-21.349999999999998,-10.674999999873325,-14.999999999999998
57,-21.7,-10.850000000126673,-14.999999999999998
58,-21.8,-10.900000000162867,-14.999999999999998
59,-21.45,-10.725000000036193,-14.999999999999998
60,-21.7,-10.850000000090482,-14.999999999999998
61,-21.45,-10.724999999909517,-14.999999999999998
62,-21.349999999999998,-10.674999999999999,-14.999999999999998
63,-21.7,-10.85,-14.999999999999998
64,-21.7,-10.849999999963806,-14.999999999999998
65,-21.45,-10.725,-14.999999999999998
66,-7.75,-3.8749999994390127,-14.999999999999998
67,-2.75,-1.3749999997104583,-14.072845850582203
68,-3.75,-1.8749999989685073,-9.880826620294135
69,-4.8500000000000005,-2.4250000006695656,-8.457975456067253
70,2.200000000000001,1.1000000003076387,-3.938775494648878
71,-0.1999999999999993,-0.10000000057908326,14.999999999999998
72,1.4499999999999993,0.7249999997647469,14.999999999999998
73,1.25,0.6249999998190364,14.999999999999998
74,7.299999999999997,3.6499999999819024,14.999999999999998
75,-46.3,-23.149999999511397,-14.999999999999998
76,7.600000000000001,3.799999999873326,5.487533210825365
77,-14.149999999999999,-7.07500000193631,-14.999999999999998
78,-3.8000000000000007,-1.8999999999638075,13.289749896837463
79,-1.5500000000000007,-0.7750000002352531,14.999999999999998
80,-1.950000000000001,-0.9750000002895424,14.999999999999998
81,-2.200000000000001,-1.0999999998914223,14.999999999999998
82,-1.8000000000000007,-0.8999999998733258,14.999999999999998
83,-0.6500000000000004,-0.3249999999095184,14.999999999999998
84,-1.0,-0.49999999954759095,14.999999999999998
85,-6.25,-3.125000000452409,14.999999999999998
86,-6.65,-3.325,14.999999999999998
87,-6.65,-3.325,14.999999999999998
88,-6.65,-3.325000000144771,14.999999999999998
89,-6.9,-3.450000000126675,14.999999999999998
90,-6.9,-3.45,14.999999999999998
91,-6.9,-3.450000000126675,14.999999999999998
92,-6.9,-3.45,14.999999999999998
93,-6.9,-3.450000000126675,14.999999999999998
94,-5.65,-2.825,14.999999999999998
95,-5.65,-2.825,14.999999999999998
96,-2.25,-1.1250000000904818,14.999999999999998
97,-2.1500000000000004,-1.0750000003257347,14.999999999999998
98,-7.6,-3.7999999988961215,14.999999999999998
99,-5.6000000000000005,-2.7999999997647476,14.999999999999998
100,-7.45,-13.724999999963806,14.999999999999998
101,-7.2,6.4,14.999999999999998
102,-7.45,-3.724287943700082,14.999999999999998
103,-7.550000000000001,-3.7750000000000004,14.999999999999998
104,-7.550000000000001,-3.775000000235253,14.999999999999998
105,-2.3000000000000007,-1.1499999992037604,14.999999999999998
106,4.35,2.175,14.999999999999998
107,4.35,2.175,14.999999999999998
108,3.9000000000000004,1.9499999997828439,14.999999999999998
109,4.35,2.175000000162867,14.999999999999998
110,4.0,1.9999999998733256,14.999999999999998
111,1.0,0.49999999987332544,14.999999999999998
112,-34.75,-17.375000002551587,5.839059150673211
113,-36.8,-18.39704889005476,-14.999999999999998
114,-34.7,-17.34999999914947,-6.0176988365948505
115,-19.9,-9.949999999837132,14.999999999999998
116,1.3000000000000007,0.6499999995475912,14.999999999999998
117,-0.40000000000000036,-0.20000000005428928,14.999999999999998
118,-0.9000000000000004,-0.44999999918566386,14.999999999999998
119,-3.450000000000001,-1.7249999998552297,14.999999999999998
120,-6.4,-3.200000000054289,14.999999999999998
121,-5.35,-2.674999999873325,14.999999999999998
122,-5.35,-2.675,14.999999999999998
123,-5.35,-2.675,14.999999999999998
124,-5.2,-2.5999999999095182,14.999999999999998
125,5.199999999999999,2.599999999710458,14.999999999999998
126,7.5,3.7500000001809637,14.999999999999998
127,-1.5,-0.7500000005609873,14.999999999999998
128,5.549999999999997,2.7750000008324314,14.999999999999998
129,-1.6000000000000014,-0.8000000011943607,14.999999999999998
130,-1.25,-0.6249999995656873,14.999999999999998
131,-0.6000000000000014,-0.2999999995294953,14.999999999999998
132,-5.9,-2.9499999993123383,14.999999999999998
133,3.6499999999999986,1.825000000235252,14.999999999999998
