,x,y
124,693644.3537549577,1200228.17056629
125,693644.353766168,1200228.166003387
126,693644.3537773325,1200228.1614591356
127,693644.4756663084,1200227.1863709819
128,693644.4756815596,1200227.1813189234
129,693644.4756961628,1200227.1764815808
130,693644.475711401,1200227.1714338507
131,693644.475726027,1200227.1665889006
132,693644.4757413726,1200227.161505625
133,693644.4757564452,1200227.1565127214
134,693644.4856903141,1200226.0833149669
135,693644.485708576,1200226.0773307309
136,693644.4857248422,1200226.0720004707
137,693644.4857409637,1200226.0667176144
138,693644.4857573832,1200226.0613371455
139,693644.4857732453,1200226.0561392794
140,693644.4928668054,1200224.8701009178
141,693644.4928841536,1200224.8644508182
142,693644.4929015541,1200224.8587837033
143,693644.492918734,1200224.8531884137
144,693644.4929359915,1200224.847567827
145,693644.4929532218,1200224.8419561244
146,693644.3946232544,1200223.5455568081
147,693644.3946381792,1200223.539540656
148,693644.3946534713,1200223.5333764541
149,693644.3946685779,1200223.5272870052
150,693644.3946840583,1200223.521046918
151,693644.3946996514,1200223.5147613639
152,693644.291862059,1200222.4318913969
153,693644.2918736946,1200222.4255671983
154,693644.2918855343,1200222.419132028
155,693644.2918990992,1200222.4117591542
156,693644.2919108502,1200222.4053722026
157,693644.2919229687,1200222.398785536
158,693644.2919346945,1200222.3924122637
159,693644.2949172477,1200221.3251694874
160,693644.294930233,1200221.318139094
161,693644.2949427499,1200221.3113623576
162,693644.2949551651,1200221.3046406226
163,693644.2949676359,1200221.2978888538
164,693644.2949801808,1200221.2910969197
165,693644.3018774679,1200220.111955751
166,693644.3018908664,1200220.1048236534
167,693644.301904933,1200220.0973359335
168,693644.3019180064,1200220.0903768775
169,693644.3019314164,1200220.0832386748
170,693644.3019448952,1200220.0760638416
171,693644.2030029639,1200218.8945617669
172,693644.2030115374,1200218.886943165
173,693644.2030198522,1200218.8795545336
174,693644.2030282299,1200218.872109969
175,693644.2030378134,1200218.8635938182
176,693644.2030461177,1200218.8562144418
177,693644.2074262869,1200217.5704635466
178,693644.2074353207,1200217.5625934422
179,693644.2074442982,1200217.5547723759
180,693644.2074534984,1200217.5467572797
181,693644.2074628918,1200217.5385738402
182,693644.2074719493,1200217.530683144
183,693644.2074814528,1200217.5224037508
184,693644.1090974353,1200216.2422203922
185,693644.1091005073,1200216.2339445127
186,693644.1091035685,1200216.2256980538
187,693644.109106649,1200216.2173994402
188,693644.109109794,1200216.2089267548
189,693644.109113798,1200216.1981405409
190,693643.9003760123,1200215.1279776194
191,693643.9003617493,1200215.119260546
192,693643.9003471187,1200215.1103188396
193,693643.9003328308,1200215.1015866043
194,693643.9003183785,1200215.092753832
195,693643.9003029632,1200215.0833325349
196,693643.474444862,1200214.3406587096
197,693643.4743976765,1200214.3317235718
198,693643.4743514343,1200214.3229670313
199,693643.4743041174,1200214.314006995
200,693643.4742573265,1200214.305146552
201,693643.4742088856,1200214.295973683
202,693643.042400192,1200213.4562558858
203,693643.0423143494,1200213.4467969465
204,693643.0422321991,1200213.4377448512
205,693643.0421476626,1200213.428429823
206,693643.0420615025,1200213.4189358915
207,693643.0419782362,1200213.4097608312
208,693642.6101650589,1200212.5687848907
209,693642.6100404202,1200212.5592101868
210,693642.6099187491,1200212.549863446
211,693642.6097929024,1200212.540195934
212,693642.6096676432,1200212.5305735583
213,693642.609545236,1200212.5211702704
214,693642.495793003,1200211.6831008906
215,693642.4956403453,1200211.6721854801
216,693642.4955028695,1200211.6623556176
217,693642.4953677988,1200211.6526977334
218,693642.4952312341,1200211.642933014
219,693642.4950958501,1200211.6332527206
220,693642.4949598976,1200211.6235317776
221,693642.3894042126,1200211.118700833
222,693642.38925897,1200211.108978927
223,693642.3891113463,1200211.0990976323
224,693642.3889644584,1200211.089265584
225,693642.3888195837,1200211.079568301
226,693642.3886662838,1200211.0693070686
227,693642.2832724741,1200210.5649468277
228,693642.2831137751,1200210.5549732263
229,693642.2829542629,1200210.5449485169
230,693642.2827940958,1200210.534882652
231,693642.2826355466,1200210.5249184654
232,693642.2824785983,1200210.5150548809
233,693642.1771440855,1200210.0111971067
234,693642.176973438,1200210.001091921
235,693642.1767837057,1200209.9898565914
236,693642.176612786,1200209.979735288
237,693642.176442646,1200209.969660152
238,693642.1762680265,1200209.9593197587
239,693642.0710149615,1200209.4574004633
240,693642.0708296659,1200209.4470303187
241,693642.0706384287,1200209.4363276483
242,693642.0704561064,1200209.4261239052
243,693642.0702676345,1200209.4155759884
244,693642.0700793013,1200209.4050358369
245,693642.071467141,1200208.7970757394
246,693642.071278258,1200208.7864299298
247,693642.0710849814,1200208.7755364908
248,693642.0708996754,1200208.7650922863
249,693642.0707118143,1200208.754504078
250,693642.0705290883,1200208.7442052888
251,693642.4984277901,1200208.2430934124
252,693642.4982839132,1200208.232055421
253,693642.4981443582,1200208.221348988
254,693642.4980061179,1200208.2107434263
255,693642.4978547181,1200208.199128289
256,693642.4977165824,1200208.1885307513
257,693642.6182547332,1200208.1192944394
258,693642.6181239232,1200208.108133853
259,693642.6180002965,1200208.0975861384
260,693642.6178754687,1200208.0869359437
261,693642.6177499545,1200208.0762271888
262,693642.6176247128,1200208.0655416858
263,693642.6174984348,1200208.0547677684
264,693642.7291738808,1200207.9013974895
265,693642.7290612613,1200207.890709821
266,693642.7289475941,1200207.879922712
267,693642.7288342731,1200207.8691684615
268,693642.7287205177,1200207.858372994
269,693642.7286059484,1200207.84750028
270,693642.8391997394,1200207.7883950153
271,693642.8390973548,1200207.7774576286
272,693642.838994365,1200207.7664555886
273,693642.8388942985,1200207.7557658474
274,693642.8387944348,1200207.7450977534
275,693642.8386747907,1200207.732316591
276,693642.8482300438,1200206.8201117045
277,693642.848129875,1200206.8091847922
278,693642.848030157,1200206.798307055
279,693642.8479222488,1200206.7865358738
280,693642.8478217948,1200206.7755778567
281,693642.847720833,1200206.7645644438
282,693643.1695009571,1200206.2559901918
283,693643.1694401908,1200206.244773073
284,693643.1693803982,1200206.2337357115
285,693643.1693203012,1200206.2226421384
286,693643.1692565548,1200206.210874925
287,693643.1691965114,1200206.1997912715
288,693643.3976240176,1200205.167828578
289,693643.3975914175,1200205.1561910745
290,693643.3975591424,1200205.1446695288
291,693643.3975270899,1200205.1332274526
292,693643.3974928104,1200205.120990371
293,693643.3974605898,1200205.109488306
294,693643.4134401684,1200203.6333605496
295,693643.4134063965,1200203.6202116956
296,693643.4133751678,1200203.6080529864
297,693643.4133433152,1200203.5956514056
298,693643.4133120006,1200203.5834592413
299,693643.4132663435,1200203.5656829558
300,693643.527376767,1200202.299838118
301,693643.527362056,1200202.2874299202
302,693643.5273474236,1200202.2750881473
303,693643.5273324708,1200202.2624760245
304,693643.5273173584,1200202.249729391
305,693643.5273023312,1200202.2370544965
306,693643.4330700566,1200200.8645357077
307,693643.4330397728,1200200.8517510141
308,693643.4330097049,1200200.8390574849
309,693643.4329788075,1200200.8260137467
310,693643.4329474814,1200200.8127890555
311,693643.432917231,1200200.8000184665
312,693643.3329248249,1200199.3187233931
313,693643.3328771325,1200199.305402411
314,693643.3328291097,1200199.2919891716
315,693643.3327771017,1200199.277462793
316,693643.332729422,1200199.264145373
317,693643.3326824335,1200199.2510210155
