time,verror,vsteer,gsteer
1,0.0,0.0,25.0
2,0.0,0.0,25.0
3,0.0,0.0,25.0
4,0.0,0.0,25.0
5,0.0,0.0,25.0
6,0.0,0.0,25.0
7,-16.35,-8.175000000108607,25.0
8,26.299999999999997,13.149999986876677,25.0
9,63.29999999999998,30.0,25.0
10,25.4,12.70000001500584,25.0
11,26.299999999999997,13.14999998707579,25.0
12,26.25,13.125000015060143,25.0
13,63.54999999999998,30.0,25.0
14,-16.0,-8.000000028147262,25.0
15,-15.799999999999999,-7.900000028292071,25.0
16,-16.299999999999997,-8.150000028346373,25.0
17,-16.299999999999997,-8.150000028219665,25.0
18,-15.75,-7.8750000001086065,25.0
19,62.5,30.0,25.0
20,26.950000000000003,13.475000015675583,25.0
21,26.25,13.125000000217213,25.0
22,-16.35,-8.175000028509286,25.0
23,62.05,30.0,25.0
24,62.0,30.0,25.0
25,-15.25,-7.625000028219667,25.0
26,-16.299999999999997,-8.150000028454981,25.0
27,64.04999999999998,30.0,25.0
28,62.69999999999999,30.0,25.0
29,63.44999999999999,30.0,25.0
30,63.849999999999994,30.0,25.0
31,-12.55,-6.2749999997827866,25.0
32,-10.75,-5.374999999149247,25.0
33,-5.3500000000000005,-2.675000000072405,25.0
34,9.45,4.724999999764685,25.0
35,8.199999999999996,4.100000003493516,25.0
36,16.5,8.250000001828214,25.0
37,-14.55,-7.275000004959711,25.0
38,43.0,21.500000024816654,25.0
39,-50.55,-25.275000006679317,6.760914495394505
40,-116.64999999999999,-30.0,22.203690404871708
41,-119.64999999999999,-30.0,23.81839691145689
42,-118.35,-30.0,24.49888692239522
43,-120.0,-30.0,24.579711754363633
44,-19.3,-9.649999965571645,24.799082098938865
45,-75.19999999999999,-30.0,-3.790622894335906
46,-80.4,-30.0,-14.696504709989231
47,13.599999999999998,6.799999999963797,-25.0
48,32.650000000000006,16.325000001122273,-25.0
49,9.399999999999999,4.70000000926778,-25.0
50,-8.2,-4.099999999565572,-25.0
51,-20.7,-10.349999999800888,-25.0
52,-21.25,-10.625,-25.0
53,-21.25,-10.625,-25.0
54,-21.25,-10.624999999963798,-25.0
55,-20.7,-10.35,-25.0
56,-21.049999999999997,-10.52500000034392,-25.0
57,-24.7,-12.350000000235314,-25.0
58,-23.7,-11.849999999637976,-25.0
59,-17.4,-8.699999999275954,-25.0
60,-17.5,-8.750000000579236,-25.0
